Date,Close,High,Low,Open,Volume
1999-12-31,1000.0,1000.0,1000.0,1000.0,0
2000-01-03,996.77001953125,996.77001953125,996.77001953125,996.77001953125,0
2000-01-04,955.969970703125,955.969970703125,955.969970703125,955.969970703125,0
2000-01-05,930.260009765625,930.260009765625,930.260009765625,930.260009765625,0
2000-01-06,922.4600219726562,922.4600219726562,922.4600219726562,922.4600219726562,0
2000-01-07,943.8800048828125,943.8800048828125,943.8800048828125,943.8800048828125,0
2000-01-10,960.219970703125,960.219970703125,960.219970703125,960.219970703125,0
2000-01-11,954.0599975585938,954.0599975585938,954.0599975585938,954.0599975585938,0
2000-01-12,946.8300170898438,946.8300170898438,946.8300170898438,946.8300170898438,0
2000-01-13,951.8200073242188,951.8200073242188,951.8200073242188,951.8200073242188,0
2000-01-14,973.8599853515625,973.8599853515625,973.8599853515625,973.8599853515625,0
2000-01-17,979.9600219726562,979.9600219726562,979.9600219726562,979.9600219726562,0
2000-01-18,952.5900268554688,952.5900268554688,952.5900268554688,952.5900268554688,0
2000-01-19,951.260009765625,951.260009765625,951.260009765625,951.260009765625,0
2000-01-20,955.4099731445312,955.4099731445312,955.4099731445312,955.4099731445312,0
2000-01-21,951.510009765625,951.510009765625,951.510009765625,951.510009765625,0
2000-01-24,956.6099853515625,956.6099853515625,956.6099853515625,956.6099853515625,0
2000-01-25,943.8800048828125,943.8800048828125,943.8800048828125,943.8800048828125,0
2000-01-26,946.2000122070312,946.2000122070312,946.2000122070312,946.2000122070312,0
2000-01-27,948.1500244140625,948.1500244140625,948.1500244140625,948.1500244140625,0
2000-01-28,948.2100219726562,948.2100219726562,948.2100219726562,948.2100219726562,0
2000-01-31,929.8599853515625,929.8599853515625,929.8599853515625,929.8599853515625,0
2000-02-01,944.77001953125,944.77001953125,944.77001953125,944.77001953125,0
2000-02-02,968.6099853515625,968.6099853515625,968.6099853515625,968.6099853515625,0
2000-02-03,994.1400146484375,994.1400146484375,994.1400146484375,994.1400146484375,0
2000-02-04,1010.4299926757812,1010.4299926757812,1010.4299926757812,1010.4299926757812,0
2000-02-07,1002.4000244140625,1002.4000244140625,1002.4000244140625,1002.4000244140625,0
2000-02-08,1022.25,1022.25,1022.25,1022.25,0
2000-02-09,1016.010009765625,1016.010009765625,1016.010009765625,1016.010009765625,0
2000-02-10,1005.6400146484375,1005.6400146484375,1005.6400146484375,1005.6400146484375,0
2000-02-11,1014.1699829101562,1014.1699829101562,1014.1699829101562,1014.1699829101562,0
2000-02-14,1006.27001953125,1006.27001953125,1006.27001953125,1006.27001953125,0
2000-02-15,993.8699951171875,993.8699951171875,993.8699951171875,993.8699951171875,0
2000-02-16,996.4099731445312,996.4099731445312,996.4099731445312,996.4099731445312,0
2000-02-17,1009.3499755859375,1009.3499755859375,1009.3499755859375,1009.3499755859375,0
2000-02-18,992.530029296875,992.530029296875,992.530029296875,992.530029296875,0
2000-02-21,978.6900024414062,978.6900024414062,978.6900024414062,978.6900024414062,0
2000-02-22,976.719970703125,976.719970703125,976.719970703125,976.719970703125,0
2000-02-23,983.3800048828125,983.3800048828125,983.3800048828125,983.3800048828125,0
2000-02-24,988.7100219726562,988.7100219726562,988.7100219726562,988.7100219726562,0
2000-02-25,1004.719970703125,1004.719970703125,1004.719970703125,1004.719970703125,0
2000-02-28,992.4299926757812,992.4299926757812,992.4299926757812,992.4299926757812,0
2000-02-29,1007.3200073242188,1007.3200073242188,1007.3200073242188,1007.3200073242188,0
2000-03-01,1015.6599731445312,1015.6599731445312,1015.6599731445312,1015.6599731445312,0
